Chassis ID,Chassis Material,Chassis Weight (kg),Wheelbase (mm),Track Width Front (mm),Track Width Rear (mm),Chassis Stiffness (N/m),Suspension Travel Front (mm),Suspension Travel Rear (mm),Ground Clearance (mm)
1,Carbon Fiber,500,3200,1500,1480,50000,100,120,80
2,Aluminum Alloy,550,3150,1520,1500,45000,110,125,85
3,Steel,600,3100,1540,1520,40000,120,130,90
4,Titanium Alloy,480,3250,1480,1460,55000,95,115,75
5,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
6,Aluminum Alloy,530,3180,1510,1490,47000,108,127,84
7,Steel,580,3130,1530,1510,42000,115,128,87
8,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
9,Carbon Fiber,510,3230,1485,1465,49000,102,121,81
10,Aluminum Alloy,540,3170,1505,1485,46000,112,126,83
11,Steel,590,3120,1525,1505,41000,118,132,88
12,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
13,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
14,Aluminum Alloy,555,3160,1515,1495,45500,114,129,85
15,Steel,595,3110,1535,1515,41500,120,133,89
16,Titanium Alloy,505,3300,1460,1440,58000,102,119,77
17,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
18,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
19,Steel,610,3080,1560,1540,39000,130,140,95
20,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
21,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
22,Aluminum Alloy,525,3190,1500,1480,47500,108,126,82
23,Steel,570,3140,1520,1500,43000,118,129,88
24,Titanium Alloy,485,3280,1465,1445,56500,97,116,75
25,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
26,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
27,Steel,585,3120,1530,1510,42500,117,131,87
28,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
29,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
30,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
31,Steel,590,3110,1535,1515,41500,120,133,89
32,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
33,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
34,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
35,Steel,610,3080,1560,1540,39000,130,140,95
36,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
37,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
38,Aluminum Alloy,530,3190,1505,1485,47000,108,126,82
39,Steel,575,3140,1525,1505,42500,117,131,87
40,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
41,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
42,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
43,Steel,585,3120,1530,1510,42500,117,131,87
44,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
45,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
46,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
47,Steel,590,3110,1535,1515,41500,120,133,89
48,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
49,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
50,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
51,Steel,610,3080,1560,1540,39000,130,140,95
52,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
53,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
54,Aluminum Alloy,530,3190,1505,1485,47000,108,126,82
55,Steel,575,3140,1525,1505,42500,117,131,87
56,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
57,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
58,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
59,Steel,585,3120,1530,1510,42500,117,131,87
60,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
61,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
62,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
63,Steel,590,3110,1535,1515,41500,120,133,89
64,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
65,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
66,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
67,Steel,610,3080,1560,1540,39000,130,140,95
68,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
69,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
70,Aluminum Alloy,530,3190,1505,1485,47000,108,126,82
71,Steel,575,3140,1525,1505,42500,117,131,87
72,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
73,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
74,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
75,Steel,585,3120,1530,1510,42500,117,131,87
76,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
77,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
78,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
79,Steel,590,3110,1535,1515,41500,120,133,89
80,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
81,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
82,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
83,Steel,610,3080,1560,1540,39000,130,140,95
84,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
85,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
86,Aluminum Alloy,530,3190,1505,1485,47000,108,126,82
87,Steel,575,3140,1525,1505,42500,117,131,87
88,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
89,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
90,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
91,Steel,585,3120,1530,1510,42500,117,131,87
92,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
93,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
94,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
95,Steel,590,3110,1535,1515,41500,120,133,89
96,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
97,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
98,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
99,Steel,610,3080,1560,1540,39000,130,140,95
100,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
101,Steel,539,3195,3054,2449,54652,118,121,90
102,Aluminum Alloy,496,3034,3068,2465,48536,120,127,87
103,Carbon Fiber,443,3122,3180,2643,53097,112,123,88
104,Steel,430,3246,3289,2534,51027,115,120,91
105,Aluminum Alloy,582,3091,3297,2588,48225,113,122,89
106,Titanium Alloy,476,3011,3064,2587,53361,118,121,92
107,Steel,542,3158,3202,2721,55683,116,124,87
108,Aluminum Alloy,558,3074,3244,2664,50492,119,126,91
109,Titanium Alloy,517,3288,3071,2761,49992,117,128,88
110,Steel,462,3180,3097,2503,51478,119,121,93
111,Steel,493,3201,3110,2513,54406,117,123,88
112,Carbon Fiber,413,3042,3031,2737,50247,115,127,90
113,Steel,407,3244,3168,2407,53855,120,124,92
114,Titanium Alloy,569,3151,3285,2357,49478,116,128,87
115,Carbon Fiber,524,3010,3135,2541,54931,119,123,91
116,Steel,526,3074,3256,2576,54671,117,121,92
117,Steel,502,3167,3156,2442,49152,118,127,90
118,Aluminum Alloy,466,3070,3088,2672,53789,119,120,89
119,Titanium Alloy,427,3289,3207,2632,54996,112,123,93
120,Aluminum Alloy,451,3179,3198,2460,51481,114,126,91
121,Titanium Alloy,501,3184,3118,2637,54198,120,121,88
122,Steel,460,3228,3221,2765,53102,117,124,90
123,Titanium Alloy,408,3281,3105,2697,49768,118,122,92
124,Steel,547,3193,3067,2597,49841,113,127,91
125,Carbon Fiber,573,3221,3254,2431,49795,114,124,90
126,Aluminum Alloy,413,3262,3201,2681,52390,120,122,93
127,Titanium Alloy,543,3214,3055,2518,52021,119,127,87
128,Steel,556,3072,3206,2542,49987,115,128,92
129,Carbon Fiber,419,3029,3252,2544,49298,118,120,89
130,Steel,480,3168,3164,2437,52974,113,124,90
131,Aluminum Alloy,543,3044,3051,2495,54725,119,122,91
132,Titanium Alloy,578,3199,3165,2746,54866,112,121,93
133,Steel,477,3198,3178,2590,54632,120,120,92
134,Steel,566,3038,3100,2518,51699,113,121,88
135,Carbon Fiber,501,3261,3035,2644,50425,117,128,91
136,Steel,408,3141,3283,2451,49326,115,121,92
137,Aluminum Alloy,460,3085,3251,2561,51678,119,127,87
138,Titanium Alloy,504,3108,3056,2710,51677,113,120,93
139,Steel,489,3087,3286,2592,50813,114,124,90
140,Steel,419,3044,3075,2740,54671,117,121,89
141,Carbon Fiber,567,3166,3190,2587,51278,118,127,91
142,Steel,502,3272,3129,2482,54502,119,123,92
143,Aluminum Alloy,569,3105,3083,2582,53110,114,120,93
144,Titanium Alloy,470,3140,3125,2678,54322,116,122,91
145,Steel,410,3281,3070,2730,53680,115,124,90
146,Carbon Fiber,513,3192,3049,2459,53504,119,120,91
147,Steel,482,3250,3152,2512,49498,112,128,92
148,Aluminum Alloy,538,3125,3059,2675,51058,114,127,89
149,Titanium Alloy,463,3265,3183,2550,49059,116,121,93
150,Steel,442,3257,3258,2657,49877,117,124,88
